"variable","horizon","delta_beta","se_delta","ci_lower","ci_upper","p_value","significant"
"CPI","h=1",-1.67703427150158,1.27244483300746,-4.1710261441962,0.816957601193042,0.18893194762847,FALSE
"CPI","h=3",-0.256983014105011,0.928192681851873,-2.07624067053468,1.56227464232466,0.782153127998187,FALSE
"CPI","h=12",0.426582283365177,0.415479503864659,-0.387757544209555,1.24092211093991,0.305715563199473,FALSE
"INDPRO","h=1",-0.636635804325623,0.669421171406534,-1.94870130028243,0.675429691631184,0.342669917022147,FALSE
"INDPRO","h=3",-0.798243127882507,0.637891678829712,-2.04851081838874,0.452024562623729,0.212169494159778,FALSE
"INDPRO","h=12",-0.0758929524721678,0.7047088704958,-1.45712233864394,1.3053364336996,0.914339762534601,FALSE
