"model","variable","rel_h1_ar1","rel_h3_ar1","rel_h12_ar1"
"Small","CPI",1.07981150689069,0.911280166474003,0.874586509065138
"Small","INDPRO",0.939993606191715,1.15600708935984,0.761722236002203
"Medium","CPI",0.947273150762384,0.868324033400692,0.916572027789115
"Medium","INDPRO",0.89719241022286,1.03218943586631,0.663160454602683
"Full","CPI",1.01921993086264,0.887573186266458,0.885627274072689
"Full","INDPRO",0.914937236047572,1.06490657800048,0.661920008669547
