"model","variable","rel_h1_rw","rel_h3_rw","rel_h12_rw"
"Small","CPI",0.855013681543663,0.808921798777578,0.548035489219741
"Small","INDPRO",0.954647776710543,0.978575479934818,1.1640247146506
"Medium","CPI",0.735114678089162,0.765167744869687,0.566732700180761
"Medium","INDPRO",0.912968963122164,0.874320486304709,1.01798066175688
"Full","CPI",0.771139381059511,0.77688676244686,0.558831936062589
"Full","INDPRO",0.926554554535782,0.895684594604588,1.02185965057895
