"scenario","model","variable","horizon","target_date","rel_rmsfe"
"baseline","Full","CPI",1,2009-11-30,0.819051146349479
"baseline","Full","CPI",1,2009-12-31,0.817741117936219
"baseline","Full","CPI",1,2010-01-31,0.816477503425046
"baseline","Full","CPI",1,2010-02-28,0.822236405436722
"baseline","Full","CPI",1,2010-03-31,0.826814290782179
"baseline","Full","CPI",1,2010-04-30,0.830768355520507
"baseline","Full","CPI",1,2010-05-31,0.830408108812506
"baseline","Full","CPI",1,2010-06-30,0.829075936614855
"baseline","Full","CPI",1,2010-07-31,0.83217982798004
"baseline","Full","CPI",1,2010-08-31,0.839378669196836
"baseline","Full","CPI",1,2010-09-30,0.854893554492562
"baseline","Full","CPI",1,2010-10-31,0.849906413675974
"baseline","Full","CPI",1,2010-11-30,0.830968595154186
"baseline","Full","CPI",1,2010-12-31,0.82609952738131
"baseline","Full","CPI",1,2011-01-31,0.830287239682547
"baseline","Full","CPI",1,2011-02-28,0.819004320138763
"baseline","Full","CPI",1,2011-03-31,0.814078630424421
"baseline","Full","CPI",1,2011-04-30,0.812938156929601
"baseline","Full","CPI",1,2011-05-31,0.8126428326102
"baseline","Full","CPI",1,2011-06-30,0.815980687574787
"baseline","Full","CPI",1,2011-07-31,0.819202295519656
"baseline","Full","CPI",1,2011-08-31,0.823196072769132
"baseline","Full","CPI",1,2011-09-30,0.799726891982308
"baseline","Full","CPI",1,2011-10-31,0.786313362434783
"baseline","Full","CPI",1,2011-11-30,0.786921858688129
"baseline","Full","CPI",1,2011-12-31,0.797058964510794
"baseline","Full","CPI",1,2012-01-31,0.79571101006938
"baseline","Full","CPI",1,2012-02-29,0.796857974724612
"baseline","Full","CPI",1,2012-03-31,0.80174972854324
"baseline","Full","CPI",1,2012-04-30,0.803836011635483
"baseline","Full","CPI",1,2012-05-31,0.815856419695884
"baseline","Full","CPI",1,2012-06-30,0.81792465366182
"baseline","Full","CPI",1,2012-07-31,0.81786561934998
"baseline","Full","CPI",1,2012-08-31,0.813104344316103
"baseline","Full","CPI",1,2012-09-30,0.812160408633588
"baseline","Full","CPI",1,2012-10-31,0.81303417804008
"baseline","Full","CPI",1,2012-11-30,0.827303144107154
"baseline","Full","CPI",1,2012-12-31,0.831630751378158
"baseline","Full","CPI",1,2013-01-31,0.834357073702383
"baseline","Full","CPI",1,2013-02-28,0.830960473693128
"baseline","Full","CPI",1,2013-03-31,0.845298818639116
"baseline","Full","CPI",1,2013-04-30,0.856686807585555
"baseline","Full","CPI",1,2013-05-31,0.867336036645112
"baseline","Full","CPI",1,2013-06-30,0.882921459893811
"baseline","Full","CPI",1,2013-07-31,0.899986381690539
"baseline","Full","CPI",1,2013-08-31,0.889474428138483
"baseline","Full","CPI",1,2013-09-30,0.889982457457206
"baseline","Full","CPI",1,2013-10-31,0.868996849112106
"baseline","Full","CPI",1,2013-11-30,0.782405412795203
"baseline","Full","CPI",1,2013-12-31,0.812339103514154
"baseline","Full","CPI",1,2014-01-31,0.746450567316652
"baseline","Full","CPI",1,2014-02-28,0.724176998251431
"baseline","Full","CPI",1,2014-03-31,0.715991358297912
"baseline","Full","CPI",1,2014-04-30,0.713918923548673
"baseline","Full","CPI",1,2014-05-31,0.712832997138032
"baseline","Full","CPI",1,2014-06-30,0.729901568168708
"baseline","Full","CPI",1,2014-07-31,0.717718036113615
"baseline","Full","CPI",1,2014-08-31,0.725071697413137
"baseline","Full","CPI",1,2014-09-30,0.733050489276505
"baseline","Full","CPI",1,2014-10-31,0.741775639354962
"baseline","Full","CPI",1,2014-11-30,0.756843307989858
"baseline","Full","CPI",1,2014-12-31,0.753051113052051
"baseline","Full","CPI",1,2015-01-31,0.749861688624819
"baseline","Full","CPI",1,2015-02-28,0.764893738001265
"baseline","Full","CPI",1,2015-03-31,0.758609996953308
"baseline","Full","CPI",1,2015-04-30,0.752829785463498
"baseline","Full","CPI",1,2015-05-31,0.730932588287401
"baseline","Full","CPI",1,2015-06-30,0.724116856527577
"baseline","Full","CPI",1,2015-07-31,0.723460773742735
"baseline","Full","CPI",1,2015-08-31,0.724759055456727
