"model","variable","h1","h3","h12"
"Small","CPI",3.48371281162938,2.67254934448087,1.3422382329079
"Small","INDPRO",7.62949313548809,5.53458889438429,5.08659979639073
"Medium","CPI",3.05611450736051,2.5465701017517,1.40667390379428
"Medium","INDPRO",7.28209563333055,4.94178992605485,4.4284276786514
"Full","CPI",3.28823087025467,2.60302289504826,1.35918262521224
"Full","INDPRO",7.42612217343497,5.09842904460214,4.4201442759454
