"model","variable","rel_h1_rw","rel_h3_rw","rel_h12_rw","rel_h1_ar1","rel_h3_ar1","rel_h12_ar1"
"Small","CPI",0.855013681543663,0.808921798777578,0.548035489219741,1.07508914067414,0.90114771678169,0.850088450201824
"Small","INDPRO",0.954647776710543,0.978575479934818,1.1640247146506,0.942393337705892,1.16091340000608,0.748423438285956
"Medium","CPI",0.735114678089162,0.765167744869687,0.566732700180761,0.924328843647243,0.852405222960132,0.879090738195216
"Medium","INDPRO",0.912968963122164,0.874320486304709,1.01798066175688,0.901249538697094,1.0372325786444,0.654522689588583
"Full","CPI",0.771139381059511,0.77688676244686,0.558831936062589,0.969626091861459,0.865460336505784,0.866835421784615
"Full","INDPRO",0.926554554535782,0.895684594604588,1.02185965057895,0.914660737203316,1.06257746017174,0.65701673126549
