"model","variable","rel_h1","rel_h3","rel_h12"
"Small","CPI",1.0686398080904,0.923674479468537,0.931369888890927
"Small","INDPRO",0.941232003201649,1.13872745240831,0.781667954504176
"Medium","CPI",0.942274472851768,0.877558753693691,0.960228884766585
"Medium","INDPRO",0.905596224420501,1.02737545111261,0.692249705918693
"Full","CPI",1.01019428256523,0.895959046142273,0.937258492332339
"Full","INDPRO",0.916248947828306,1.05298943758161,0.695274017207318
