"model","variable","rel_h1","rel_h3","rel_h12"
"Small","CPI",0.832159504906968,0.775567121777522,0.549435803541111
"Small","INDPRO",0.923937949490823,0.910774054049102,1.07129979484972
"Medium","CPI",0.7340889889444,0.73743451529136,0.56602317823907
"Medium","INDPRO",0.888379147822717,0.821720436995949,0.945973652933325
"Full","CPI",0.78518141330039,0.751012687713263,0.550608430362707
"Full","INDPRO",0.899158101324949,0.841379782495067,0.952324235695366
