"model","variable","h1","h3","h12"
"Small","CPI",3.23124741028823,2.4496833425418,1.3233537214332
"Small","INDPRO",7.32744774807787,5.20214149218071,4.79854227022683
"Medium","CPI",2.84915640156033,2.32737951389769,1.36435854673881
"Medium","INDPRO",7.05002485330515,4.69344306311184,4.24961706087849
"Full","CPI",3.0545256078938,2.37617905411571,1.33172064994483
"Full","INDPRO",7.13295581387587,4.81045752650142,4.26818285403039
