"scenario","model","variable","horizon","n","mse","rmse","bias","bias_prop","var_prop","covar_prop","corr","sd_forecast","sd_actual"
"window1995","Full","CPI",1,287,9.33012668927898,3.0545256078938,-0.210745331876337,0.00476023492357312,0.491053221461548,0.507666402933328,0.338335049191325,1.10340405347688,3.24386866832451
"window1995","Full","CPI",3,285,5.64622689721823,2.37617905411571,-0.246540790138002,0.0107651290513699,0.364882956135434,0.627835136189776,0.148095290409104,0.893422688011173,2.3287665357593
"window1995","Full","CPI",12,276,1.77347988948948,1.33172064994483,-0.327812775663505,0.0605934223021528,0.117274760461581,0.825547841155167,0.0750657729039414,0.690370822345327,1.14642392147229
"window1995","Full","INDPRO",1,287,50.8790586427056,7.13295581387587,-1.06649311329684,0.0223551219509963,0.447088134550251,0.53397508223319,0.431065438117256,3.05249178853179,7.82191768859985
"window1995","Full","INDPRO",3,285,23.1405016142742,4.81045752650142,-1.17221260724623,0.0593799745351844,0.339700789254387,0.604231278553615,0.541572781075421,2.74728599709434,5.55100614399048
"window1995","Full","INDPRO",12,276,18.217384875439,4.26818285403039,-1.40777190175768,0.108787388581243,0.300652343651908,0.593801040899281,0.351849470386999,1.94659684433773,4.28691721941665
"window1995","Medium","CPI",1,287,8.11769220055221,2.84915640156033,-0.164896710451675,0.00334958809055781,0.390696477091454,0.609438726468021,0.478769179123675,1.46298300527128,3.24386866832451
"window1995","Medium","CPI",3,285,5.41669540171063,2.32737951389769,-0.200438318306426,0.00741697962798874,0.265157131027466,0.730920899979658,0.247948389141801,1.13031945208507,2.3287665357593
"window1995","Medium","CPI",12,276,1.86147424405923,1.36435854673881,-0.262875322048232,0.0371229605580097,0.0614668721201238,0.904911538374383,0.0909499275378162,0.808165145807134,1.14642392147229
"window1995","Medium","INDPRO",1,287,49.7028504322203,7.05002485330515,-0.851741781767901,0.0145960253084171,0.44338668532714,0.545462757807421,0.445876958587196,3.12749737247425,7.82191768859985
"window1995","Medium","INDPRO",3,285,22.0284077866727,4.69344306311184,-0.939983976956086,0.0401104739612069,0.3171139180312,0.646155500704913,0.559115342324336,2.90799371473088,5.55100614399048
"window1995","Medium","INDPRO",12,276,18.0592451641096,4.24961706087849,-1.16138690571705,0.0746885892801122,0.250484329826683,0.678191849659459,0.338678004351719,2.16005146857393,4.28691721941665
"window1995","Small","CPI",1,287,10.4409598264944,3.23124741028823,-0.148060310630048,0.0020996015642392,0.533003944704813,0.46838561596324,0.148093664857801,0.884828021361003,3.24386866832451
"window1995","Small","CPI",3,285,6.00094847872679,2.4496833425418,-0.196308059337789,0.00642179387101574,0.350522907353158,0.64655381358614,0.0516679696056739,0.878432123411639,2.3287665357593
"window1995","Small","CPI",12,276,1.75126507203109,1.3233537214332,-0.290728427209957,0.0482639777026709,0.0877324764553469,0.867464404104882,0.121792155260227,0.754450935542089,1.14642392147229
"window1995","Small","INDPRO",1,287,53.6914905008115,7.32744774807787,-1.03160581337776,0.0198208420788523,0.398089740816318,0.585516616957701,0.371758937826636,3.19871192446715,7.82191768859985
"window1995","Small","INDPRO",3,285,27.0622761046682,5.20214149218071,-1.15894294446217,0.0496317731488575,0.230368074047755,0.723346519799342,0.42267751225692,3.05415123719654,5.55100614399048
"window1995","Small","INDPRO",12,276,23.0260079191536,4.79854227022683,-1.5748446448642,0.107710188590459,0.145021974137285,0.750512527495564,0.180505307998681,2.45954831168717,4.28691721941665
