"model","variable","h1","h3","h12"
"Small","CPI",3.46682627750325,2.65882477782295,1.31140659195643
"Small","INDPRO",7.57232456278044,5.37627176432691,4.85325909901707
"Medium","CPI",3.46231432970842,2.66071457231828,1.31089378025033
"Medium","INDPRO",7.31995197215476,5.00107775430518,4.64365840917046
"Full","CPI",3.54986126077356,2.67611469311946,1.34108478463011
"Full","INDPRO",7.53140613172933,5.20944295152459,4.59802156317988
