"model","variable","rel_h1","rel_h3","rel_h12"
"Small","CPI",0.850718516445643,0.808220004769222,0.543190852701058
"Small","INDPRO",0.946350220651885,0.950934604923511,1.12305681724898
"Medium","CPI",0.735890173844059,0.759865355836166,0.548182685178653
"Medium","INDPRO",0.91125776840687,0.863940094271448,1.00450714752172
"Full","CPI",0.786603836369793,0.781561210910521,0.55777853701814
"Full","INDPRO",0.930857851901168,0.899437395018588,1.02565736117457
