"scenario","model","variable","horizon","n","mse","rmse","bias","bias_prop","var_prop","covar_prop","corr","sd_forecast","sd_actual"
"lag6","Full","CPI",1,227,10.0705765385622,3.17341717058477,-0.115612582984834,0.00132725959563915,0.44937979702805,0.553711849307303,0.425593578170949,1.38281566613269,3.51014113273495
"lag6","Full","CPI",3,225,6.51458835658804,2.55236916542024,-0.12396777264186,0.00235901453976639,0.37534822887414,0.626746510985469,0.196385032566574,0.993440521258417,2.55716658470093
"lag6","Full","CPI",12,216,1.76065361115864,1.32689623224977,-0.119949138353772,0.00817184919317774,0.216539061070879,0.779902243925743,0.0838247786896405,0.610347485612868,1.22780216397505
"lag6","Full","INDPRO",1,227,55.8861895054597,7.47570662248457,-1.10733205521076,0.0219407386931882,0.465881044725725,0.516505912427577,0.380869123739831,2.90951834453547,8.01209772682277
"lag6","Full","INDPRO",3,225,26.1310936879601,5.11185814435026,-1.12667241366771,0.0485777879363964,0.386574289210295,0.569095343442878,0.471881089876507,2.48573472658625,5.66403757066999
"lag6","Full","INDPRO",12,216,19.3822328524527,4.40252573558096,-1.09397014841305,0.061745759362675,0.349573165855828,0.593045047993763,0.172567674833281,1.63786075124847,4.24084144644902
"lag6","Medium","CPI",1,227,8.89926775874258,2.98316405159733,-0.119105831929169,0.00159408611855767,0.429713652750115,0.573109986413988,0.532675330339854,1.55460109085123,3.51014113273495
"lag6","Medium","CPI",3,225,6.16342680193302,2.48262498213746,-0.136057321682023,0.00300345820242075,0.354287269913907,0.647160149302412,0.277497459213197,1.07945766377941,2.55716658470093
"lag6","Medium","CPI",12,216,1.70767953128404,1.30678212846826,-0.161176973489694,0.0152124659852099,0.24135701118694,0.748010929962803,0.112020596877006,0.585804946118282,1.22780216397505
"lag6","Medium","INDPRO",1,227,53.1620998995288,7.2912344564915,-1.34190977948754,0.0338722860776286,0.460302693911298,0.51009992140011,0.447914910999499,3.06531515653178,8.01209772682277
"lag6","Medium","INDPRO",3,225,24.1388477566638,4.91313013838061,-1.36474812064338,0.0771593346780792,0.377450645103974,0.549509844616705,0.557392535970796,2.64555721495797,5.66403757066999
"lag6","Medium","INDPRO",12,216,18.7197410746097,4.32663160837732,-1.34106744374014,0.0960730109188862,0.37149703681845,0.536634263839785,0.261477908217246,1.60373539260399,4.24084144644902
"lag6","Small","CPI",1,227,11.9119286359536,3.45136619847178,-0.0734614342886513,0.00045304018288503,0.613301118160217,0.390668615815381,0.178843648123926,0.807253944583174,3.51014113273495
"lag6","Small","CPI",3,225,6.9899170240386,2.64384512103841,-0.123993871337856,0.0021995225517664,0.443412284102849,0.558842659762564,0.0412520652200778,0.79665101438684,2.55716658470093
"lag6","Small","CPI",12,216,1.6806850715825,1.29641238484616,-0.204853128423675,0.0249688683112139,0.24757425772247,0.731991902485799,0.140287701027645,0.582748399500897,1.22780216397505
"lag6","Small","INDPRO",1,227,57.5573095550418,7.58665338308281,-1.5936999350566,0.0441278354154225,0.379239150998299,0.580862536438423,0.375339524270365,3.34005478937021,8.01209772682277
"lag6","Small","INDPRO",3,225,29.2527702013554,5.40858301233839,-1.69984246964296,0.0987757536025763,0.234821868587496,0.670425700338488,0.431092127059606,3.04312357741441,5.66403757066999
"lag6","Small","INDPRO",12,216,23.3573820972725,4.83294755788561,-1.99513545534661,0.17042001833099,0.19460650286561,0.638831990346047,0.165764903240309,2.10882398731647,4.24084144644902
