OBS	USCPILD400	USYDEVQTR	USFFR 	AU_CPILD400	AUREERCPINEW	AU_BB90	AU_GDPRDEVQTR	AU_GMTOTLD
2000.25	3.123185884	3.69291732	6.273333333	3.182196576	5.233621025	6.193333333	2.665741671	0.123076939
2000.5	3.638852154	2.841024748	6.52	2.626289123	3.874360491	6.42	1.99547936	-1.224005489
2000.75	2.841521021	2.623751453	6.473333333	1.220443357	7.01804325	6.313333333	0.311032394	0.855228182
2001	3.808101877	1.765992583	5.593333333	4.242464012	1.85206997	5.546666667	0.243892918	-0.367422336
2001.25	2.794837166	1.339433683	4.326666667	3.302082542	2.095574332	4.906666667	0.254919306	-0.609386407
2001.5	1.127502391	0.255044085	3.496666667	1.194030737	-0.297963032	4.846666667	0.43006061	-1.087624014
2001.75	-0.300356688	-0.081540357	2.133333333	3.560854376	-1.310974071	4.296666667	0.836193656	0.60277458
2002	1.274961237	-0.134594416	1.733333333	3.529434663	-1.850953792	4.343333333	0.897255148	-1.440601144
2002.25	3.132591062	-0.319969061	1.75	2.917591345	-7.143332218	4.833333333	1.285012296	0
2002.5	2.148750189	-0.459282204	1.74	2.607760051	1.537679296	4.953333333	1.114332106	-0.594178813
2002.75	2.357715428	-1.134097534	1.443333333	2.877710254	-2.289546073	4.856666667	0.501412112	-0.825963398
2003	3.729119414	-1.559136191	1.25	5.128275372	-7.080720582	4.77	0.374262461	-0.819197091
2003.25	0.218281042	-1.429498195	1.246666667	0	-7.714040314	4.746666667	-0.300466569	-0.232828976
2003.5	2.465562556	-0.345774184	1.016666667	2.258298165	-1.500978408	4.816666667	0.232944258	-1.500316659
2003.75	1.082935415	-0.411947961	0.996666667	1.965605921	-9.977206356	5.25	1.277318466	-2.040887163
2004	3.44582174	-0.400960337	1.003333333	3.62498124	-5.366789415	5.543333333	1.01073379	-3.636764417
2004.25	4.124480987	-0.262768066	1.01	1.938390778	8.193991966	5.513333333	0.751584998	-2.353049741
2004.5	2.116780385	-0.094838779	1.433333333	1.654034059	0.62516971	5.44	0.29634837	-1.677188161
2004.75	3.503262891	-0.180364797	1.95	3.014745343	-8.404654108	5.416666667	-0.298973856	-1.239685298
2005	2.08732427	-0.137574634	2.47	2.721098929	-1.632798948	5.62	-0.543104335	-2.8341978
2005.25	3.798699015	-0.156492931	2.943333333	2.433261981	1.906957406	5.696666667	0.027981678	-5.90970967
2005.5	5.461767739	0.224381682	3.46	3.75589614	1.844869301	5.63	-0.460736698	-1.67914393
2005.75	3.376117274	-0.18875368	3.98	2.130497713	2.396391542	5.63	-0.743035668	-2.376711507
2006	1.878252655	0.279404025	4.456666667	3.438037694	0.342028814	5.616666667	-0.974734948	-0.540541857
2006.25	4.921911119	0.175878797	4.906666667	6.270539907	-2.845013316	5.84	-1.259894614	-1.692690749
2006.5	3.029319714	-0.264518539	5.246666667	3.612927788	-0.824677544	6.15	-1.69196512	-2.443402534
2006.75	-2.104921812	-0.451573296	5.246666667	-0.514138888	-3.38363803	6.346666667	-1.555940962	-1.709443336
2007	3.744986144	-1.004899794	5.256666667	0.25715205	-0.040514651	6.41	-0.867390023	-1.43039881
