"variable","comparison","h1_improvement_pct","h3_improvement_pct","h12_improvement_pct"
"CPI","Oil (Medium vs Small)",14.0230508637045,5.40893495193352,-3.41167886547683
"CPI","Sentiment (Full vs Medium)",-4.90055552475049,-1.53156189028434,1.39409003850541
"INDPRO","Oil (Medium vs Small)",4.36588390034204,10.653750862126,12.5464735461017
"INDPRO","Sentiment (Full vs Medium)",-1.48806717012142,-2.44350997540666,-0.381047397833418
