"variable","horizon","bias","var_forecast","var_actual","correlation","rmsfe"
"CPI",1,46803189080061.4,4.80448628893771e+29,12.3210907717178,0.0999810860825401,693197413164650
"CPI",12,-3.21064271139176e+103,7.72871312491019e+210,1.50749815386181,-0.0529671049311467,2.7737993561702e+105
"INDPRO",1,-4326097275640.04,2.84350109860943e+30,64.1937099841586,-0.002117307128938,1682555608938177
"INDPRO",12,-3.46694188159737e+102,6.85665267536562e+206,17.9847361739198,0.0518897885318294,2.63535685877329e+103
