"window_start","window_end","rmsfe_h1","rmsfe_h3","rmsfe_h12","variable"
2006-06-30,2009-05-31,852242459151265,2.45752155333847e+26,2.03549742586476e+104,"CPI"
2006-07-31,2009-06-30,851154439734376,2.53934633530238e+26,2.03773859348881e+104,"CPI"
2006-08-31,2009-07-31,850898725466818,2.52655359679544e+26,2.02561426550333e+104,"CPI"
2006-09-30,2009-08-31,850005020019743,2.5146658583016e+26,2.00569693708858e+104,"CPI"
2006-10-31,2009-09-30,851052616652019,2.3405005772564e+26,1.23873738908942e+104,"CPI"
2006-11-30,2009-10-31,853791913327837,2.27242965896854e+26,1.17637961048798e+104,"CPI"
2006-12-31,2009-11-30,862257028269405,2.26755433288168e+26,1.17499630400049e+104,"CPI"
2007-01-31,2009-12-31,877700459739443,2.26093549912832e+26,1.16665854172139e+104,"CPI"
2007-02-28,2010-01-31,859682872492345,2.26065067930492e+26,1.16620426463515e+104,"CPI"
2007-03-31,2010-02-28,849806093072117,2.25773962157502e+26,1.16367342794991e+104,"CPI"
2007-04-30,2010-03-31,841478749058919,2.24609784964113e+26,1.15785305256199e+104,"CPI"
2007-05-31,2010-04-30,834396837785459,2.24646401566694e+26,1.15756627484025e+104,"CPI"
2007-06-30,2010-05-31,835190687736417,2.24110775822173e+26,1.15544968607723e+104,"CPI"
2007-07-31,2010-06-30,800809391775675,2.24107366531532e+26,1.15543824295959e+104,"CPI"
2007-08-31,2010-07-31,806478083990801,2.24114767157426e+26,1.15543823046076e+104,"CPI"
2007-09-30,2010-08-31,803037830450222,2.23555145041264e+26,1.15423444526271e+104,"CPI"
2007-10-31,2010-09-30,802220065051465,2.23261020647432e+26,1.15400605188588e+104,"CPI"
2007-11-30,2010-10-31,791518925173759,2.23283205942216e+26,1.15400605595231e+104,"CPI"
2007-12-31,2010-11-30,826747963865339,2.17519734425642e+26,1.10865578542332e+104,"CPI"
2008-01-31,2010-12-31,805734076845413,2.17320976515626e+26,1.10841526048868e+104,"CPI"
2008-02-29,2011-01-31,765220161146721,2.16888210851505e+26,1.1078430183878e+104,"CPI"
2008-03-31,2011-02-28,791029094911577,2.16806727625688e+26,1.1078380533244e+104,"CPI"
2008-04-30,2011-03-31,751584045506018,2.16416002804955e+26,1.10712835745961e+104,"CPI"
2008-05-31,2011-04-30,725553252753678,2.16539223961331e+26,1.10712893308436e+104,"CPI"
2008-06-30,2011-05-31,719402862806450,2.15465472337677e+26,1.10663014259434e+104,"CPI"
2008-07-31,2011-06-30,731971579319571,2.05634513479519e+26,1.04857890725101e+104,"CPI"
2008-08-31,2011-07-31,723733483892491,2.04853464259634e+26,1.04828203164043e+104,"CPI"
2008-09-30,2011-08-31,693990869733837,1.97862665981427e+26,1.03272775485999e+104,"CPI"
2008-10-31,2011-09-30,682814714650339,1.9657935917853e+26,1.03257912706594e+104,"CPI"
2008-11-30,2011-10-31,684077645999105,1.84049127982277e+26,1.01565174528417e+104,"CPI"
2008-12-31,2011-11-30,674281322548352,1.00269548637456e+26,1.04537883818023e+103,"CPI"
2009-01-31,2011-12-31,667827626138682,9.12114467083417e+25,9.86987970972914e+102,"CPI"
2009-02-28,2012-01-31,698612637588812,8.99710091387008e+25,9.86654057437402e+102,"CPI"
2009-03-31,2012-02-29,683088316632989,8.86953443533303e+25,9.85797536384773e+102,"CPI"
2009-04-30,2012-03-31,673474549829054,8.82062898670847e+25,9.85633272738726e+102,"CPI"
2009-05-31,2012-04-30,653061281690091,8.67415923025987e+25,9.84772787532071e+102,"CPI"
2009-06-30,2012-05-31,649234070618752,8.6697339030972e+25,9.88791612549983e+102,"CPI"
2009-07-31,2012-06-30,650871764082035,5.91757851533068e+25,2.55869210207583e+102,"CPI"
2009-08-31,2012-07-31,654744585389376,5.92288558165795e+25,2.55916585339777e+102,"CPI"
2009-09-30,2012-08-31,663568799329635,6.06883211620542e+25,2.65564776960973e+102,"CPI"
2009-10-31,2012-09-30,657943741744916,5.99887719198017e+25,2.64597704785942e+102,"CPI"
